Pic,Item,Distractor,Condition
Brief_weiss.png,Brief,Paket,rel
Geige_braun.png,Geige,Flöte,rel
Herz_rot.png,Herz,Lunge,rel
Holz_braun.png,Holz,Stein,rel
Hummer_rot.png,Hummer,Fisch,rel
Iglu_weiss.png,Iglu,Zelt,rel
Kaktus_gruen.png,Kaktus,Palme,rel
Kirsche_rot.png,Kirsche,Pflaume,rel
Klavier_schwarz.png,Klavier,Orgel,rel
Koffer_schwarz.png,Koffer,Tasche,rel
Krone_gold.png,Krone,Zepter,rel
Nest_braun.png,Nest,Höhle,rel
Pferd_braun.png,Pferd,Esel,rel
Pokal_gold.png,Pokal,Medaille,rel
Raupe_gruen.png,Raupe,Käfer,rel
Reifen_schwarz.png,Reifen,Bremse,rel
Ring_gold.png,Ring,Armband,rel
Stern_gold.png,Stern,Mond,rel
Tisch_braun.png,Tisch,Stuhl,rel
Tomate_rot.png,Tomate,Gurke,rel
Trompete_gold.png,Trompete,Gitarre,rel
