Pic,Item,Distractor,Condition
Anzug_schwarz.png,Anzug,Wolke,unrel
Blut_rot.png,Blut,Auto,unrel
Erbse_gruen.png,Erbse,Buch,unrel
Fliege_schwarz.png,Fliege,Heft,unrel
Gespenst_weiss.png,Gespenst,Stift,unrel
Kette_gold.png,Kette,Glas,unrel
Kittel_weiss.png,Kittel,Brot,unrel
Klee_gruen.png,Klee,Bett,unrel
Lakritz_schwarz.png,Lakritz,Papier,unrel
Monster_gruen.png,Monster,Seife,unrel
Mund_rot.png,Mund,Pfanne,unrel
Muenze_gold.png,Münze,Topf,unrel
Nuss_braun.png,Nuss,Flasche,unrel
Panther_schwarz.png,Panther,Tee,unrel
Salat_gruen.png,Salat,Rock,unrel
Schaf_weiss.png,Schaf,Tür,unrel
Schiff_braun.png,Schiff,Mütze,unrel
Teller_weiss.png,Teller,Zug,unrel
Traktor_gruen.png,Traktor,Messer,unrel
Tulpe_rot.png,Tulpe,Brille,unrel
Zahn_weiss.png,Zahn,Socke,unrel
